accuracy,brier,dataset,detector_triggered,ece,intensity,macro_f1,method,nll,runtime_seconds,seed,shift
0.776,0.40158702075167174,pubmed,,0.17551453089672409,0.0,0.7718619190738202,gtrans_full,1.1012270806817317,21.163906499976292,1,clean
0.73,0.3922074089017518,pubmed,False,0.044741104454327746,0.0,0.7256640083124098,full_method,0.7040940998226722,40.367737799999304,1,clean
0.731,0.39432590038208326,pubmed,,0.06479973022810086,0.15,0.7244275102978776,source_only,0.7065876121658806,0.0,1,edge_drop
0.765,0.3937669780334213,pubmed,,0.14856248901672256,0.15,0.7627424004192873,tent_full,1.010410873513871,7.987664200016297,1,edge_drop
0.77,0.39375455632544615,pubmed,,0.14884138825015872,0.15,0.7677174368440149,eata_full,0.9956589111148276,11.37454909994267,1,edge_drop
0.726,0.4023755291919456,pubmed,,0.061746588783569756,0.15,0.7215300310248575,matcha_full,0.7257057955014364,8.727539799991064,1,edge_drop
0.77,0.41594279005658996,pubmed,,0.18459198456790984,0.15,0.7669004203409129,gtrans_full,1.1730058887048478,18.447160099982284,1,edge_drop
0.726,0.4001804407464167,pubmed,False,0.06224312910587408,0.15,0.7212892520157593,full_method,0.720654188670279,38.243490600027144,1,edge_drop
0.768,0.3624516995316805,pubmed,,0.07385793004229105,0.0,0.7641286508058721,source_only,0.6570332380875531,0.0,2,clean
0.764,0.3878450544525698,pubmed,,0.1499569765108738,0.0,0.7599226804123712,tent_full,0.9945201480222563,8.437305200030096,2,clean
0.764,0.3884371390754301,pubmed,,0.15347213211877409,0.0,0.7605472149613853,eata_full,0.9830677396111741,13.146158399991691,2,clean
0.766,0.36026922644480625,pubmed,,0.06751435721484754,0.0,0.7628927012864813,matcha_full,0.6579522099800147,8.708261499996297,2,clean
0.767,0.4103329204042626,pubmed,,0.19281790020064093,0.0,0.7630564265444818,gtrans_full,1.1176684036094313,20.090914899948984,2,clean
0.77,0.3602525362414233,pubmed,False,0.07209398693590605,0.0,0.7664798455895389,full_method,0.6569120569273854,35.51959249994252,2,clean
0.769,0.3710428515104668,pubmed,,0.08195612116690995,0.15,0.7663254201366669,source_only,0.6807059183111148,0.0,2,edge_drop
0.765,0.39548822827570723,pubmed,,0.15473201349462218,0.15,0.7628617107492345,tent_full,1.066398409733071,4.752903999993578,2,edge_drop
0.761,0.39624077152931775,pubmed,,0.1490236633848557,0.15,0.7585740203385366,eata_full,1.05459094450384,8.837407800019719,2,edge_drop
0.762,0.37023203144913086,pubmed,,0.07746709371330808,0.15,0.7590585209246467,matcha_full,0.6862044245086102,7.328554600011557,2,edge_drop
0.769,0.42007300128560415,pubmed,,0.19115004981247136,0.15,0.7635663805240266,gtrans_full,1.2113709294210804,16.058392100036144,2,edge_drop
0.763,0.37000489639806733,pubmed,False,0.07646813406653888,0.15,0.759903107422343,full_method,0.6843753693891768,33.916192800039425,2,edge_drop
0.8593598448108632,0.2262889159006153,coauthor_cs,,0.04614261209260432,0.0,0.7140579439340244,source_only,0.5638940106375023,0.0,0,clean
0.8603297769156159,0.2185937673319261,coauthor_cs,,0.0480532257524595,0.0,0.7105524920028542,tent_full,0.588450026180662,3.867178399930708,0,clean
0.8559650824442289,0.22460874394345248,coauthor_cs,,0.04680426211185319,0.0,0.7024890843205793,eata_full,0.6034559158862904,7.186329500051215,0,clean
0.8753637245392822,0.19268394818171605,coauthor_cs,,0.02201705648724999,0.0,0.7379430965510664,matcha_full,0.48020652429657096,4.205864700023085,0,clean
0.8792434529582929,0.18788321987176315,coauthor_cs,False,0.023153302868552467,0.0,0.7425132534241652,full_method,0.4685079723593294,39.60894880001433,0,clean
0.8520853540252182,0.23024176835935256,coauthor_cs,,0.03815738831244544,0.15,0.703255607004294,source_only,0.57992693070335,0.0,0,edge_drop
